,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
8168,0.01094229,0.39164875,0.09786964,-0.7542465,0.35451115,-0.05553465,0.3837757,-0.1673786,0.1231356,0.1086,88.67145422
8169,0.01582929,0.35808775,0.09732292,-0.6287345,0.42926295,-0.05973445,0.4190571,-0.1613214,0.138278,1.5178,106.0556465
8170,0.01514295,0.42756925,0.10249228,-0.5811745,0.41252285,-0.06676325,0.4313463,-0.2154486,0.1279964,0.5278,99.07142857
8171,0.01560465,0.35001925,0.09962404,-0.7233615,0.40183005,-0.05376825,0.4547235,-0.1919114,0.1474508,0.6802,98.87603306
8172,0.01485945,0.44037325,0.0836182,-0.8150015,0.37483725,-0.05079665,0.4105871,-0.1580762,0.1446788,1.5746,120.2745098
8173,0.01614843,0.33447625,0.10761676,-0.7349035,0.38197665,-0.05547025,0.4167933,-0.169195,0.123998,3.5966,133.2324622
8174,0.01251531,0.39235825,0.10419772,-0.6582275,0.35754295,-0.05669615,0.3870251,-0.2214146,0.119154,0.3514,99.12457912
8175,0.01452573,0.36048025,0.08378956,-0.7147195,0.46777985,-0.04939365,0.3979129,-0.213123,0.1338596,3.959,146.0062402
8176,0.01585413,0.33375025,0.10753108,-0.7090065,0.45943425,-0.05913645,0.4133899,-0.188727,0.1431052,3.6682,128.7569061
8177,0.01430865,0.38247475,0.11509132,-0.6844435,0.34147115,-0.05276545,0.4081539,-0.1723946,0.1232252,3.6422,142.3636364
8178,0.01201689,0.48787675,0.113137,-0.7560155,0.48722575,-0.05550475,0.3297371,-0.1892818,0.1435756,0.5238,102.8816794
8179,0.01274535,0.35297275,0.08846932,-0.7805495,0.35985755,-0.05797725,0.4452217,-0.2044058,0.1656564,1.2866,108.5299145
8180,0.01081215,0.38499925,0.1152994,-0.7698195,0.39012665,-0.05284365,0.3280277,-0.1944878,0.1549044,2.853,131.875
8181,0.01603665,0.38570875,0.10627852,-0.8503815,0.39180555,-0.05327145,0.4051047,-0.1689062,0.1236508,1.6554,119.6923077
8182,0.01182843,0.41582125,0.08930164,-0.6579085,0.43795085,-0.06358005,0.4493951,-0.2271222,0.163674,2.2854,126.8402778
8183,0.01348785,0.33124225,0.12285556,-0.6681455,0.34852905,-0.05172815,0.4563867,-0.2186634,0.1284276,2.9206,96.49122807
8184,0.01102167,0.45071875,0.08410372,-0.6499335,0.39695635,-0.06234265,0.3667125,-0.214795,0.1397452,2.701,137.8738739
8185,0.01369899,0.40194475,0.12309628,-0.7545075,0.44639425,-0.06290155,0.3945249,-0.2214222,0.117558,2.0518,121.2942989
8186,0.01352403,0.45002575,0.11149684,-0.7571465,0.35628785,-0.06202525,0.3826361,-0.220951,0.1355004,1.8374,130.3442341
8187,0.01192401,0.40991425,0.08384668,-0.7430815,0.35046875,-0.05012965,0.3884419,-0.1917974,0.1512532,2.9118,143.9441536
8188,0.01427895,0.38232625,0.08593972,-0.8674335,0.40339485,-0.05196965,0.4034569,-0.1614962,0.1509732,2.149,124.2201835
8189,0.01597779,0.40095475,0.10443844,-0.7629465,0.37451125,-0.05383265,0.4090471,-0.162849,0.149814,1.6446,121.0189983
8190,0.01193589,0.39993175,0.08923636,-0.6111025,0.40947475,-0.06340295,0.3544387,-0.1791586,0.1483804,3.4426,137.8733766
8191,0.01179603,0.33954175,0.08373244,-0.6934915,0.36174835,-0.04921425,0.3831135,-0.2045578,0.1360156,2.627,129.7946288
8192,0.01330155,0.35897875,0.10511572,-0.7512595,0.33107175,-0.04743405,0.3915373,-0.1838858,0.1566516,3.5082,142.260372
8193,0.01505277,0.38796925,0.10944868,-0.7498675,0.46342775,-0.05731025,0.4446981,-0.165357,0.1180732,3.0234,134.3867925
8194,0.01506357,0.42217375,0.10097452,-0.6262115,0.47161035,-0.06576965,0.3163083,-0.1802454,0.1165668,0.4358,87.78597786
8195,0.01457271,0.35942425,0.10715572,-0.7352515,0.37006135,-0.05076215,0.3875333,-0.180215,0.1205708,1.3038,111.7879747
